datetime,total_number,day_type,ticket_type,service,ticket_group,Month_Year,Year-Month,Year,As Quarter,Fiscal Year
6/1/2022 16:00,1255,Weekday,Fareless,Heart-to-Hub Uniter,Anonymous Ticket,,2022-06,2022,2022Q4,2022
7/1/2022 16:00,1015,Weekday,Fareless,Heart-to-Hub Uniter,Anonymous Ticket,,2022-07,2022,2023Q1,2023
8/1/2022 16:00,1374,Weekday,Fareless,Heart-to-Hub Uniter,Anonymous Ticket,,2022-08,2022,2023Q1,2023
9/1/2022 16:00,1520,Weekday,Fareless,Heart-to-Hub Uniter,Anonymous Ticket,,2022-09,2022,2023Q1,2023
10/1/2022 16:00,2643,Weekday,Fareless,Heart-to-Hub Uniter,Anonymous Ticket,,2022-10,2022,2023Q2,2023
11/1/2022 16:00,1828,Weekday,Fareless,Heart-to-Hub Uniter,Anonymous Ticket,,2022-11,2022,2023Q2,2023
12/1/2022 16:00,1293,Weekday,Fareless,Heart-to-Hub Uniter,Anonymous Ticket,,2022-12,2022,2023Q2,2023
1/1/2023 16:00,1277,Weekday,Fareless,Heart-to-Hub Uniter,Anonymous Ticket,,2023-01,2023,2023Q3,2023
2/1/2023 16:00,2097,Weekday,Fareless,Heart-to-Hub Uniter,Anonymous Ticket,,2023-02,2023,2023Q3,2023
3/1/2023 16:00,1920,Weekday,Fareless,Heart-to-Hub Uniter,Anonymous Ticket,,2023-03,2023,2023Q3,2023
4/1/2023 16:00,2184,Weekday,Fareless,Heart-to-Hub Uniter,Anonymous Ticket,,2023-04,2023,2023Q4,2023
12/1/2021 16:00,782,Weekday,Fareless,US 20 Commuter (AM),Anonymous Ticket,,2021-12,2021,2022Q2,2022
1/1/2022 16:00,824,Weekday,Fareless,US 20 Commuter (AM),Anonymous Ticket,,2022-01,2022,2022Q3,2022
2/1/2022 16:00,999,Weekday,Fareless,US 20 Commuter (AM),Anonymous Ticket,,2022-02,2022,2022Q3,2022
3/1/2022 16:00,1317,Weekday,Fareless,US 20 Commuter (AM),Anonymous Ticket,,2022-03,2022,2022Q3,2022
4/1/2022 16:00,1296,Weekday,Fareless,US 20 Commuter (AM),Anonymous Ticket,,2022-04,2022,2022Q4,2022
5/1/2022 16:00,1389,Weekday,Fareless,US 20 Commuter (AM),Anonymous Ticket,,2022-05,2022,2022Q4,2022
6/1/2022 16:00,1255,Weekday,Fareless,US 20 Commuter (AM),Anonymous Ticket,,2022-06,2022,2022Q4,2022
7/1/2022 16:00,1015,Weekday,Fareless,US 20 Commuter (AM),Anonymous Ticket,,2022-07,2022,2023Q1,2023
8/1/2022 16:00,1374,Weekday,Fareless,US 20 Commuter (AM),Anonymous Ticket,,2022-08,2022,2023Q1,2023
9/1/2022 16:00,1520,Weekday,Fareless,US 20 Commuter (AM),Anonymous Ticket,,2022-09,2022,2023Q1,2023
10/1/2022 16:00,2643,Weekday,Fareless,US 20 Commuter (AM),Anonymous Ticket,,2022-10,2022,2023Q2,2023
11/1/2022 16:00,1828,Weekday,Fareless,US 20 Commuter (AM),Anonymous Ticket,,2022-11,2022,2023Q2,2023
12/1/2022 16:00,1293,Weekday,Fareless,US 20 Commuter (AM),Anonymous Ticket,,2022-12,2022,2023Q2,2023
1/1/2023 16:00,1277,Weekday,Fareless,US 20 Commuter (AM),Anonymous Ticket,,2023-01,2023,2023Q3,2023
2/1/2023 16:00,2097,Weekday,Fareless,US 20 Commuter (AM),Anonymous Ticket,,2023-02,2023,2023Q3,2023
3/1/2023 16:00,1920,Weekday,Fareless,US 20 Commuter (AM),Anonymous Ticket,,2023-03,2023,2023Q3,2023
